State,State_Score
Illinois,0
Kars,0
Adiyaman,0
Borno,0
Rio Grande do Norte,0
Busan,0
Panevezys,0
Almaty,0
Auckland,0
Yalova,0
Ruvuma,0
Cross River,0
Entre Ríos,0
Papua,0
Vargas,0
Malatya,0
Almaty City,0
Ashgabat,0
Rivers,0
Provincia de Buenos Aires,0
Ondo,0
Gunma,0
Extremadura,0
Misiones,0
Mersin,0
Otago,0
Šiauliai,0
Vilnius,0
North Holland,0
Drenthe,0
Gombe,0
Basilicata,0
Peravia,0
Elazig,0
Imo,0
Bolu,0
Arequipa,0
Batman,0
Duarte,0
Aveiro,0
Osmaniye,0
South Dublin,0
Kwara,0
Arizona,0
Baluchistan,0
Mary,0
Chiriquí,0
Izmir,0
Mendoza,0
Callao,0
Kutahya,0
Gangwon,0
Benue,0
Ra's Al Khaymah,0
Gelderland,0
San Luis,0
Isparta,0
Francisco Morazán,0
Chaco,0
Miranda,0
Nelson,0
Bauchi,0
Coimbra,0
Usak,0
Valle del Cauca,0
Manicaland,0
Loreto,0
Sivas,0
Salta,0
Lebap,0
Astana,0
Choluteca,0
Sokoto,0
Balikesir,0
Oregon,0
Qaraghandy,0
Niger,0
Katsina,0
Zhambyl,0
Cordillera,0
La Vega,0
Jinja,0
Abia,0
Khánh Hòa,0
Ogun,0
Cork,0
Kaduna,0
Groningen,0
Eskisehir,0
Aceh,0
Oyo,0
North Brabant,0
Sanliurfa,0
Plateau,0
Aragua,0
Carabobo,0
Utrecht,0
Distrito Capital,0
Anzoátegui,0
Alagoas,0
Tekirdag,0
Sindh,0
Artibonite,0
South Chungcheong,0
Sardinia,0
Ulsan,0
Mérida,0
Stockholm,0
Kahramanmaras,0
Kayseri,0
Jeju,0
Mashonaland West,0
Piura,0
Daejeon,0
Overijssel,0
Central Jutland,0
Gaziantep,0
Uppsala,0
Lara,0
Riau,0
Konya,0
Edirne,0
Värmland,0
Harare,0
Al Hudaydah,0
Ibb,0
Lisboa,0
Västra Götaland,0
Canakkale,0
Kaunas,0
F.C.T.,0
Gulu,0
Santiago del Estero,0
Monseñor Nouel,0
Ceará,0
Bolivar,0
Manisa,0
Anambra,0
Hatay,0
Ordu,0
Diyarbakir,0
Santa Fe,0
Kocaeli,0
Languedoc-Roussillon-Midi-Pyrénées,0
Yobe,0
Qostanay,0
Khatlon,0
Ibaraki,0
San Pedro de Macorís,0
Trabzon,0
Gisborne,0
Mardin,0
Junín,0
Osun,0
Delta,0
Skåne,0
Daegu,0
South Denmark,0
Denizli,0
Igdir,0
Dà Nang,0
Antalya,0
Enugu,0
Erzurum,0
Adana,0
Maranhão,0
Kampala,0
Aydin,0
Porto,0
Dublin,0
Khyber Pakhtunkhwa,0
Corum,0
Córdoba,0
Chubut,0
Colorado,0
Nakhon Ratchasima,0
Australian Capital Territory,0
'Ajman,0
Florida,0
Seoul,0
Sucre,0
Yangon,0
Iringa,0
Calabarzon,0
Punjab,0
Pavlodar,0
Ardahan,0
Amasya,0
Kirsehir,0
Colón,0
Santo Domingo,0
Kastamonu,0
Zealand,0
Bulawayo,0
Edo,0
Western Visayas,0
Ta'izz,0
Ohio,0
Sirnak,0
Akwa Ibom,0
Zeeland,0
Corrientes,0
Düzce,0
Moquegua,0
Bahia,0
Nueva Esparta,0
Catamarca,0
Istanbul,0
Tennessee,0
La Rioja,0
Ouest,0
Yaracuy,0
Ucayali,0
Setúbal,0
Th? Dô Hà N?i,0
Bangkok,0
Zamfara,0
Santa Catarina,0
Lima (city),0
Texas,0
Ankara,0
Kano,0
La Pampa,0
Rize,0
Lower Saxony,0
Siirt,0
Galway,0
Pennsylvania,0
Nigde,0
Tokat,0
Aqmola,0
Espaillat,0
Bursa,0
Gyeonggi,0
National Capital,0
South Holland,0
Aksaray,0
Río Negro,0
Ancash,0
Jujuy,0
Södermanland,0
Buenos Aires,0
Ebonyi,0
Adamawa,0
Cajamarca,0
Lambayeque,0
Ica,0
Abuja Capital Territory,0
Karaman,0
Panama,0
Samsun,0
North Carolina,0
Van,0
Nevsehir,0
Guárico,0
Braga,0
Bingol,0
Halland,0
Minas Gerais,0
Zulia,0
Friesland,0
San Juan,0
Kilis,0
Yoro,0
Klaipeda,0
Lagos,0
Cortés,0
Portuguesa,0
Hovedstaden,0
Atlántida,0
Puno,0
Gyeongsangnam,0
